origin,destination,modularity,rawvolume,expectation
15,14,3436.7758371730342,30103.212890625,26666.437053451966
15,21,7653.838756264846,26329.388671875,18675.549915610154
15,22,12666.105244828621,26692.94921875,14026.843973921379
15,23,14611.011581728068,27359.533203125,12748.521621396932
15,31,-10549.237953382522,11265.966796875,21815.204750257522
15,32,-7852.209787814303,12029.271484375,19881.481272189303
15,33,-7664.943144134857,10865.978515625,18530.921659759857
15,34,-11951.679715992068,10496.2763671875,22447.956083179568
15,35,-8058.784503597461,14107.7177734375,22166.50227703496
15,36,-9144.822537228662,13016.9853515625,22161.80788879116
15,37,1301.4048616772488,17956.685546875,16655.28068519775
15,41,-148.6789197147009,16626.427734375,16775.1066540897
15,42,-9728.352157674057,9235.2734375,18963.625595174057
15,43,-9044.40925262601,13406.5595703125,22450.96882293851
15,44,-15217.841726229664,9610.607421875,24828.449148104664
15,45,-9547.25549814225,6710.73486328125,16257.9903614235
15,46,-1963.764607088665,2502.383544921875,4466.14815201054
15,51,-4324.037369185182,25731.271484375,30055.308853560182
15,52,-6224.373926989854,13248.703125,19473.077051989854
15,53,-6027.617329328612,5693.89013671875,11721.507466047362
15,54,-206.17555567863576,516.7565307617188,722.9320864403545
15,61,7622.358046908699,30777.55078125,23155.1927343413
15,62,1935.5714550496305,13968.93359375,12033.36213870037
15,63,234.7975603224454,2441.68310546875,2206.8855451463046
15,64,1851.2629485933098,5847.87646484375,3996.61351625044
15,65,-2392.047784912371,5420.63818359375,7812.685968506121
15,12,11768.368106746093,27546.302734375,15777.934627628907
21,11,23382.25006765518,60976.6015625,37594.35149484482
21,13,12619.618399896914,55114.15234375,42494.53394385309
21,14,1885.796801603734,36439.0703125,34553.273510896266
21,15,7586.846538182392,26291.748046875,18704.90150869261
21,22,58927.17782602034,77102.5859375,18175.408111479657
21,23,15313.581268369471,31832.591796875,16519.01052850553
21,31,3553.8770356845343,31821.123046875,28267.246011190466
21,32,1058.7410785617103,26820.34765625,25761.60657768829
21,33,-11077.301257222356,12934.3056640625,24011.606921284856
21,34,-4201.65872228353,24885.48046875,29087.13919103353
21,35,-11200.181194152945,17522.26171875,28722.442912902945
21,36,-15743.138437803773,12973.2216796875,28716.360117491273
21,37,5016.177840564327,26597.40625,21581.228409435673
