ORIGIN,DESTINATION,VOLUME
13,2,1093.826769
13,3,764.2518322
13,4,2919.602824
13,5,1561.788375
13,6,1408.468454
13,7,4402.316372
13,8,1473.649057
13,9,211.8126873
13,10,310.7477477
13,11,2345.867193
13,12,840.423908
13,14,1463.669227
13,15,3821.422718
13,16,1069.24662
13,17,566.8592337
13,18,1875.293996
13,19,876.0596401
13,20,2251.657808
13,21,1759.725052
13,22,606.6057504
13,23,1485.355629
13,24,6735.845222
14,1,161.9854355
14,2,679.9845405
14,3,601.5928906
14,4,1724.757989
14,5,1267.770155
14,6,958.9062637
14,7,2545.493177
14,8,913.3169117
14,9,131.069805
14,10,179.3799706
14,11,1327.525573
14,12,532.1843878
14,13,2405.447861
14,15,2239.541228
14,16,651.5889697
14,17,329.325679
14,18,1257.440934
14,19,518.1708264
14,20,2274.923506
14,21,1285.423839
14,22,349.3135757
14,23,840.5827072
14,24,5528.377464
15,1,486.9648136
15,2,3496.528187
15,3,1443.500532
15,4,7863.37724
15,5,2475.391872
15,6,4122.574468
15,7,9462.593032
15,8,2880.152229
15,9,693.532181
15,10,869.7176096
15,11,3439.15168
15,12,2327.895
15,13,5739.688376
15,14,2046.207159
15,16,3517.947574
15,17,1863.508335
15,18,3041.741737
15,19,2904.695422
15,20,3162.933185
15,21,2386.866706
15,22,1720.83098
15,23,2614.059318
15,24,8882.944739
16,1,199.073172
16,2,1574.083673
16,3,423.5031511
16,4,1991.943155
16,5,666.6848231
16,6,2079.42453
16,7,2372.962692
16,8,747.9207903
16,9,440.5169043
16,10,217.4126769
16,11,856.7952662
16,12,698.9661298
16,13,1441.560861
16,14,534.2456541
16,15,3155.64577
16,17,795.5503536
16,18,793.7223811
16,19,1493.945731
16,20,835.5707535
16,21,608.7815833
16,22,430.1567107
16,23,654.3726855
16,24,2240.224109
17,1,248.4240614
17,2,2101.769843
17,3,625.9849601
17,4,3292.829555
17,5,1041.055868
17,6,2442.955962
17,7,3981.5139
17,8,1206.729543
17,9,509.6851875
17,10,370.5723319
17,11,1483.178697
17,12,1055.566005
17,13,2422.297495
17,14,855.8868801
17,15,5298.244162
17,16,2518.935449
17,18,1273.609448
17,19,2243.823095
17,20,1323.459281
17,21,1000.372163
17,22,736.534788
17,23,1104.631347
17,24,3745.741592
18,1,183.6477873
18,2,901.9004212
18,3,683.0869194
18,4,2298.099877
18,5,1342.977922
18,6,1218.010752
18,7,3346.900558
18,8,1219.211588
18,9,173.6651473
18,10,237.4813192
18,11,1496.633187
18,12,704.8105105
18,13,2763.698893
18,14,1126.702819
18,15,2982.182855
18,16,866.7837431
18,17,438.8312554
18,19,692.1095938
18,20,1745.093844
18,21,1272.482355
18,22,462.257438
18,23,1070.078502
18,24,4648.002339
19,1,196.3824767
19,2,1648.092595
19,3,457.9279053
19,4,2308.420916
19,5,742.9595784
19,6,1998.750041
19,7,2766.898143
19,8,851.7924441
19,9,432.8271136
19,10,256.5254191
19,11,1015.207795
19,12,771.2037334
19,13,1677.60196
19,14,603.4532641
19,15,3701.036247
19,16,2120.178444
19,17,1005.064423
19,18,898.8367907
19,20,936.90679
19,21,698.5474392
19,22,508.8810761
19,23,764.669839
19,24,2594.347629
20,1,217.8667309
20,2,840.2050692
20,3,777.3416067
20,4,2099.183555
20,5,1587.236519
20,6,1220.567052
20,7,3086.692513
20,8,1113.597255
20,9,162.3816033
20,10,217.7107833
20,11,1619.303022
20,12,656.7946676
20,13,2915.905315
20,14,1791.108133
20,15,2723.798865
20,16,802.0606246
20,17,400.7632772
20,18,1532.451582
20,19,633.1580977
20,21,1559.20611
20,22,423.9269167
20,23,1017.515559
20,24,7265.071422
21,1,173.0664135
21,2,825.8638069
21,3,654.5734042
21,4,2159.248593
21,5,1386.523059
21,6,1108.441965
21,7,3224.890393
21,8,1127.905168
21,9,159.1120827
21,10,226.8492075
21,11,1713.465602
21,12,643.4633555
21,13,3111.748002
21,14,1381.978638
21,15,2807.2245
21,16,797.747262
21,17,413.5784268
21,18,1525.681566
21,19,644.4649034
21,20,2127.4116
21,22,442.1834593
21,23,1076.460491
21,24,6077.844561
22,1,229.2067473
22,2,1587.808619
22,3,717.4313044
22,4,3982.92118
22,5,1268.509035
22,6,1884.208638
22,7,4993.561011
22,8,1481.873408
22,9,315.4527722
22,10,464.0869642
22,11,1841.468182
22,12,1098.555764
22,13,3042.762338
22,14,1065.51808
22,15,5746.429807
22,16,1599.140417
22,17,864.0220862
22,18,1572.313467
22,19,1331.948156
22,20,1640.816218
22,21,1253.515963
22,23,1387.573327
22,24,4704.864482
23,1,168.3943625
23,2,979.2113238
23,3,599.6759502
23,4,2630.616976
23,5,1154.924031
23,6,1228.302646
23,7,3975.996897
23,8,1255.962955
23,9,190.5058578
23,10,281.3653649
23,11,1733.651741
23,12,740.6389771
23,13,2949.118523
23,14,1014.718426
23,15,3453.499933
23,16,962.7599875
23,17,512.8025659
23,18,1440.555418
23,19,792.0932997
23,20,1558.642919
23,21,1207.742659
23,22,548.806567
23,24,4559.802617
24,1,332.4455689
24,2,1536.608763
24,3,1249.460313
24,4,4061.038406
24,5,2662.160079
24,6,2058.743755
24,7,6110.406699
24,8,2097.51849
24,9,296.3740524
24,10,430.9372037
24,11,3562.573806
24,12,1194.218456
24,13,6040.799602
24,14,3014.044642
24,15,5300.629223
