origin,destination,modularity,rawvolume,expectation
5,6,-530.7947932012503,2541.142578125,3071.9373713262503
5,7,-880.8178928375683,1123.4573974609375,2004.2752902985058
5,8,3439.563152264722,5457.3349609375,2017.7718086727784
5,9,-5574.906625743417,11587.9345703125,17162.841196055917
5,10,2341.265438310368,4807.2412109375,2465.975772627132
5,11,-347.0017552932204,3849.59033203125,4196.59208732447
5,12,-1228.3372109676948,1780.9603271484375,3009.2975381161323
5,13,-832.7876401116787,2421.92822265625,3254.7158627679287
5,14,239.206611441914,4484.13134765625,4244.924736214336
5,15,-2535.475055710265,9487.2568359375,12022.731891647765
5,16,-830.44829285783,2601.445068359375,3431.893361217205
5,17,-1567.8573201205727,2199.621337890625,3767.4786580111977
5,18,465.272267775395,2874.39599609375,2409.123728318355
5,19,4133.95616028632,7869.64013671875,3735.68397643243
